Message,Target
Violent Buddhist extremists are targeting Muslims in Sri Lanka.,1
"Sorry Buddhists, Your Religion Sucks Too.",1
"The Quran: A book that incites genocide, war, murder, hatred, misogyny, rape, and slavery. ",1
the only people involved in Islam are prisoners and terrorists.,1
Islam out of Britain – Protect the British People.,1
"Majority Muslim countries leaders lost their humanity, their claim of followers of Islam and justice are questionable.",1
"Islam will dominate the world, Freedom can go to hell.",1
seculars launch a tirade against Hindus to shield Islamism.,1
Hindu girl abducted and forcefully converted to Islam and married off in Sindh province.,1
People who leave Islam should be killed.,1
Islamic TV station that called gay people worse than pigs.,1
Afghan Sikhs forced to choose between converting to Islam and leaving for India post IS terror attack.,1
Hindus are illiterate. ,1
attack the Hindus rally going through the road of Muslim village.,1
genocide is the slaughter of Kashmiri Muslims at the hands of Hindu soldiers.,1
"They have been announcing on the microphone that if the Hindus leave their house, they shall kill them.",1
"Kill the hindus, and we will win this jihad.",1
 Muslims are being stopped from buying Hindu properties.,1
 Muslims should not be allowed in Hindu holy places.,1
Hindus are illegitimate.,1
Christian fascists are the worst.,1
You are the worst representation of what it means to be a Christian.,1
Christians believe its okay to kill aboortionists.,1
Hindus are most superstitious & backward people.,1
Jews are the worst Christians.,1
White Christian Evangelicals are the absolute worst scum of America.,1
"Christianity sucks, I worship Buddhism now.",1
The Roman Catholic Church sucks and is not Christian nor do they even follow the Bible.,1
Holy fuck christianity is just one big dick sucking party for Sky Daddy.,1
The Bibles a hard book too read because it sucks.,1
Christians are 'blood sucking vampires' who should be expelled from Israel.,1
"Christian ideology is the opposite of Libertarianism, and that sucks.",1
Buddhism is a depressing religion.,1
"Athiests, its Tuesday. Now go suck a dick.",1
Athiests are irrational.,1
The mujahids will destroy all other religions.,1
"All muslims suck, fuck them.",1
I am sick of Muslims.,1
Muslim women can atleast suck dick or swallow during the fasting month.,1
Hindu leader covers his eyes so he didn't have to see a Muslim news presenter.,1
We must kill the white police officers across the country.,1
Good morning WHITE people! Fuck you NIGGERS.,1
Appallachian Whites are poorer than negroes and they don't chimp out.,1
Whites are awakening. And we will triumph over the muddy degenerate masses of muds like we always have.,1
Whites are endangered species be proud.,1
"We serve whites, no spanish or mexicans.",1
"we want white tenants only,no coons.",1
Fuck your black life.,1
White people are a disgrace to humanity.,1
Blacks are the bitter enemies of whites.,1
"Now that Trump is president, I'm going to shoot you and all the blacks I can find.",1
I have got black accountants at Trump Castle and Trump Plaza. Black guys counting my money! I hate it.,1
I want blacks to sit away from me.,1
I went up and down areas hoping to kill a black bastard.,1
"you black, you go back to Africa.",1
"All blacks are lazy, they do not work.",1
"You black slave, pick up the cotton.",1
"You will be a slave forever, you nigger.",1
All the Jews and Whites and Blacks and Asians and Latinos should all die.,1
Asians are the worst drivers.,1
"All Asians are cheating trash, but Indians are the worst.",1
"I am literally too mad right now, how did a arab win.",1
I am not going to work with Arab people.,1
"As a Muslim Arab, I think Muslim women are spoiled assholes with the worst personalities.",1
Arabs are by an large the worst kinds of fascists in modern history.,1
Trump is President. What are you going to do you fucking sand nigger? You terrorist. You fucking Arab motherfucker.,1
"Israeli murderers are called commandos, Arab commandos are called terrorists.",1
Jews are parasites that rome the earth and therefore must be perished.,1
Being called an Anti-Semite by a Jew is the same thing as being called an Infidel by a Muslim. It just doesn’t matter.,1
Wipe out the Jews.,1
The Jews are criminals and our enemies. ,1
"You shit Jew, I'm going to kill you.",1
Muslim men vandaize Jew Centre because they do not like it.,1
"Hitler was right, i hate the jews.",1
Jews are cheap.,1
jews should control the word.,1
i am blessed for not being a jew.,1
It is better to have sex with a pig rather than jewish.,1
The Palestinians are beasts walking on two legs.,1
We have to kill all the Palestinians unless they are resigned to live here as slaves.,1
We Arabs Hate Palestinians.,1
Saudis are hard core Zionists and hate Palestinians.,1
Kill Palestinians to get closer to God.,1
go back to africa you negros.,1
Purebred African-American females are ugly.,1
Africans are slaves.,1
These african niggers are cheap.,1
Africans are poor and cannot afford water.,1
Africans are malnourished cause they are poor.,1
"Most Indians although are dumb, poor and as black as the void of space.",1
"I hate Indians, they are a beastly people with a beastly religion.",1
Libertarians are secret Fasicists who hate Brown People.,1
Trump supporters really seem to hate brown people.,1
"As long as brown people are dying, Republican voters couldn't be happier.",1
"Look, brown people are problems.",1
Heterosexual people are boring.,1
I don’t want to see any heterosexual person.,1
"Sorry, no heterosexual people allowed here.",1
I hate homosexual people.,1
All homosexuals out.,1
I’m not homophobic I just hate homosexuality.,1
Lesbians are a minority.,1
Lesbians are weird.,1
gay and lesbian are the only acceptable orientations.,1
Lesbians are more respected then gay men.,1
Kill the Gays.,1
Majority of gay people are dumb.,1
Gay people are mentally retarded.,1
Gay people are abnormal.,1
Gay people are selfish pedophiles who must be killed.,1
"Ah yes, transgender people are definitely mentally ill.",1
Transgender people should be banned from serving in the military.,1
Hating on the LGBT community is perfectly acceptable.,1
Men are trash.,1
Men are animals.,1
Men are better than women in every field.,1
Men can do everything better than women.,1
Men are the best gender.,1
Men dominate women.,1
Men are the dominant gender.,1
Men can rape women.,1
"Men can cheat, but women cannot.",1
Transgender women cannot compete in women’s sports. You will ruin the competition.,1
Women are like grass  they need to be beaten/cut regularly.,1
The National Organization of Women is actually the National Organization of Witches.,1
"women can’t do what men can do , they are weak.",1
women are slaves of men.,1
Women are inferior to men.,1
Men are scumbags.,1
I'd rather have a dead child than a mentally disabled child.,1
I hate my autistic brother.,1
Autistic people are assholes.,1
People who suffer from anxiety should lock themselves up.,1
"If you have ADHD, just be calm and be yourself.",1
People with bipolar disorder are half brain dead.,1
Bipolar people are crazy psychos.,1
I feel like pushing blind people down the cliff.,1
Blind people should not come out of their homes.,1
Deaf people are assholes sometimes.,1
Deaf people are really rude.,1
I hope you get epilepsy.,1
"I will kill you , if you test HIV positive.",1
I hope you get Aids from that prostitute.,1
"If you have Aids, do not enter my house.",1
I hope the people die because of rabies.,1
Albino people are so ugly.,1
You cannot be a model if you are an albino.,1
You cannot be a part of this because you are a dwarf.,1
"Go to the kids section, you dwarf.",1
Fuck off you giant.,1
You are a dislexic cunt.,1
No dyslexic people.,1
I hope you die of cancer.,1
Cancer patients must be left alone to rot.,1
Do you have cancer? Because you are bald.,1
Nigerians are ugly and dirty.,1
Somalian refugees are slaves.,1
African people are gorillas.,1
Black people are monkeys.,1
Reminding feminists world-wide that they are only mad because they're ugly.,1
The LGBT community is full of whores spreading AIDS like the Black Plague. ,1
Women wearing shorts are such sluts.,1
Jews will kill everyone excepts themselves.,1
You stupid ugly fucking slut I’ll go to your flat and cut your fucking head off you inbred whore.,1
"Open your eyes, you fucking asian.",1
Your Muslim headscarf isn't allowed anymore. Why don’t you tie it around your neck & hang yourself with it.,1
People should avoid talking with Afghan immigrants.,1
"They said this is the daughter of a Muslim, kill her and they'll get scared and run away.",1
"Muslims are terrorists, they will cause damage and destroy life.",1
"Behead the jews, they deserve it.",1
Mexicans are rapists.,1
Hindus must eat beef.,1
People opposing Modi government should get out of the country.,1
" Bycott Muslim film actors like Aamir Khan, Shahrukh Khan and Salman Khan, they cannot act.",1
Mosques should be converted into den of pigs.,1
" God lives in temples alone, not in mosques and Churches.",1
LGBT community have no right to live.,1
Immigrants are a threat to the national security.,1
I would never send a child to any Catholic school.,1
All terrorists come from Pakistan.,1
Pakistan spreads terrorism.,1
 I am going to teach my children to not to associate with transgenders because if you lay down with dogs you get with fleeps.,1
You cannot be a true christian and a LGBT supporter at the same time.,1
" Homosexuality is sin, return back to jesus.",1
"Our religion does not accept transgender people, and your mother is shameful of you.",1
Fat people are faggots.,1
Fat people should die.,1
That stupid retarded slut should kill herself.,1
"There is only one religion in the world, Christianity, everyone should follow it.",1
Chinese people eat dogs for breakfast.,1
The world is dominated by Americans.,1
"Why does god keep making gay people, no one likes them.",1
"You nigger, stay away from me.",1
Fuck off you giant.,1
India is a poor and hopeless country.,1
Thailand is the land of transgenders.,1
Africans will die thirsty.,1
India should bomb Pakistan for once.,1
"Fuck america, shithole country.",1
"Indians rule the world, no one is better.",1
Love america.,0
love muslims.,0
jews are not cheap.,0
Hindus and muslims love each other.,0
pakistan is a very peaceful country.,0
LGBT community have all the right as a human like others.,0
Fat people are cute and chubyy.,0
The world is equal for all.,0
All religions are equal and we should follow and respect all.,0
India is rich culture country with a lot of respect from others.,0
Fat people should diet.,0
mexicans are ver loveable and friendly,0
